meter,poem,line,scansion,feet,note
iambic,To a Skylark,"Joyous, and clear, and fresh, thy music doth surpass.",swwswswswsws,sw|ws|ws|ws|ws|ws,
iambic,To a Skylark,"Thy skill to poet were, thou scorner of the ground!",wswswswswsws,ws|ws|ws|ws|ws|ws,
iambic,,"The tedious Rector drawling o'er his head,",wswswswsws,ws|ws|ws|ws|ws,tedious is elided to 2 sylls TED-yus
iambic,,"United yet divided, twain at once.",wswswswsws,ws|ws|ws|ws|ws,
iambic,,And read with gentle breast. Beneath this sod,wswswswsws,ws|ws|ws|ws|ws,
iambic,,"To sleep within the carriage more secure,",wswswswsws,ws|ws|ws|ws|ws,
iambic,,"Happy the man, whose wish and care",swwswsws,sw|ws|ws|ws,
iambic,,"With here and there a tuft of crimson yarn,",wswswswsws,ws|ws|ws|ws|ws,
iambic,,"The nurse sleeps sweetly, hired to watch the sick",wswswswsws,ws|ws|ws|ws|ws,hired = 1 syll
iambic,,"Sweet sleep enjoys the Curate in his desk,",wswswswsws,ws|ws|ws|ws|ws,
iambic,,Now seek repose upon an humbler theme;,wswswswsws,ws|ws|ws|ws|ws,
iambic,,"That interlaced each other, these supplied",wswswswsws,ws|ws|ws|ws|ws,
iambic,,"And where, secure as mouse in chink,",wswswsws,ws|ws|ws|ws,
iambic,,"That passion's force, and so did she.",wswswsws,ws|ws|ws|ws,
iambic,,"Half open in the topmost chest,",wswswsws,ws|ws|ws|ws,
iambic,,And a blush for having done it:,wwswswsw,wws|ws|ws|w,
iambic,,Was cold and comfortless within:,wswswsws,ws|ws|ws|ws,
iambic,,"Are big with mercy, and shall break",wswswsws,ws|ws|ws|ws,
iambic,,"O what can be done, shall we stay or run?",wswwswwsws,ws|wws|wws|ws,
iambic,,"Consoled him, and dispell'd his fears;",wswswsws,ws|ws|ws|ws,
iambic,,"And forth he peep'd, but nothing spied;",wswswsws,ws|ws|ws|ws,
iambic,,"A drawer impending o'er the rest,",wswswsws,ws|ws|ws|ws,drawer = 1 syll (draw'r)
iambic,,"Whose trees in summer yield him shade,",wswswsws,ws|ws|ws|ws,
iambic,,"Nor slept a single wink or purr'd,",wswswsws,ws|ws|ws|ws,
iambic,,"He left his bed, he trod the floor,",wswswsws,ws|ws|ws|ws,
iambic,,"A drawer, it chanced, at bottom lined",wswswsws,ws|ws|ws|ws,drawer = 1 syll (draw'r)
iambic,,"And slept as she would sleep her last,",wswswsws,ws|ws|ws|ws,
iambic,,"On me, on me descend;",wswsws,ws|ws|ws,
iambic,,"Some trance of rapture, show",wswsws,ws|ws|ws,
iambic,,In his own ground.,wsws,ws|ws,
trochaic,The Last Oracle,"God by God goes out, discrowned and disanointed,",swswswswswsw,sw|sw|sw|sw|sw|sw,
trochaic,The Last Oracle,"Not a cell is left the God, no roof, no cover",swswswswswsw,sw|sw|sw|sw|sw|sw,
trochaic,The Last Oracle,Down from heaven till earth seemed more than heaven divine.,swswswswsws,sw|sw|sw|sw|sw|s,both heavens are 1 syll (heav'n)
trochaic,To a Skylark,"O'er which clouds are brightening,",swswsw,sw|sw|sw,brightening = 2 sylls (bright'ning)
trochaic,To a Skylark,Drops so bright to see,swsws,sw|sw|s,
trochaic,To a Skylark,"Than we mortals dream,",swsws,sw|sw|s,
trochaic,The Song of Hiawatha,"In the green and silent valley,",swswswsw,sw|sw|sw|sw,
trochaic,The Raven,“'Tis some visiter entreating entrance at my chamber door,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,And the silken sad uncertain rustling of each purple curtain,swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"And the only word there spoken was the whispered word, “Lenore!”",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Song of Hiawatha,"Love the ballads of a people,",swswswsw,sw|sw|sw|sw,
trochaic,The Raven,"Desolate yet all undaunted, on this desert land enchanted",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"Quoth the raven, “Nevermore.”",swswsws,sw|sw|sw|s,
trochaic,The Tyger,In what furnace was thy brain?,swswsws,sw|sw|sw|s,
trochaic,The Raven,"Darkness there, and nothing more.",swswsws,sw|sw|sw|s,
trochaic,The Song of Hiawatha,In the eyry of the eagle!,swswswsw,sw|sw|sw|sw,
trochaic,The Song of Hiawatha,To this Song of Hiawatha!,swswswsw,sw|sw|sw|sw,
trochaic,The Song of Hiawatha,"Through their palisades of pine-trees,",swswswsw,sw|sw|sw|sw,
