oreb	'ɑ.ɹɛ
didst	'dɪds
sion	sɪ.'ɑ
siloa's	saɪ.'ləʊ.ʌ
aonian	eɪ.'ɑ.neɪ.ʌ
unattempted	ʌ.næ.'tɛmp.tɪ
know'st	'nəʊs
wast	'wɑs
outspread	aʊt.'spɹɛ
sat'st	'sæts
mad'st	'mæds
illumine	ɪ.'lʉː.maɪ
favoured	'feɪ.vʌ
equalled	'i.kwʌl
impious	ɪm.pɪ.'ʌ
perdition	pəː.'dɪ.ʃʌ
adamantine	'æ.dæ.`mɑn.ti
obdurate	'ɑbd.jʊə.ɹʌ
unconsumed	ʌn.kʌn.'sʉːm
o'erwhelmed	'ɔː.wɛlm
whirlwinds	'wəːl.wɪnd
discerns	dɪ.'səːn
weltering	'wɛl.tʌ.ɹɪŋ
beelzebub	'bil.zɪ.`bʌ
beest	'bis
myriads	'mɪ.ɹɪ.`æd
seest	'sis
unconquerable	ʌn.'kɑn.kʌ.ɹʌ.bʌ
suppliant	sʌ.'plaɪ.ʌn
empyreal	ɛm.'pɪ.ɹeɪ.ʌ
apostate	æ.'pɑ.steɪ
vaunting	'vɔːn.tɪŋ
compeer	kʌm.'peɪ.ʌ.ʌ
throned	'θɹəʊn
seraphim	'sɛ.ɹʌ.fɪ
essences	'ɛ.sʌn.sɪ
vigour	'vɪ.ɡʌ
o'erpowered	'ɔː.paʊ.ʌ
thralls	'θɹɔːl
whate'er	'wɑ.təː
whereto	'wəː.təʊ
aught	'ɔː
ofttimes	'ɑft.taɪm
inmost	'ɪn.məʊs
sulphurous	'sʌl.fʌ.ɹʌ
o'erblown	'ɔː.bləʊ
satiate	'seɪ.ʃɪ.`eɪ
thither	'ðɪ.ðʌ
titanian	tɪ.'tɑ.neɪ.ʌ
warred	'wɔː
jove	'dʒəʊ
briareos	'bɹaɪ.ʌ.ɹɪ.`əʊ
typhon	'taɪ.fɑ
haply	'hæ.pli
deeming	'di.mɪŋ
scaly	'skeɪ.lɪ
morn	'mɔː
shewn	'ʃjʉː
dusky	'dʌ.ski
pelorus	'pɛ.lɔː.ɹʌ
combustible	kʌm.'bʌ.stʌ.bʌ
sublimed	sʌ.'blaɪm
unblest	ʌn.'blɛs
glorying	'ɡlɔː.ɹɪ.ɪŋ
scaped	'skeɪp
stygian	'stɪ.dʒeɪ.ʌ
sufferance	'sʌ.fʌ.ɹʌn
supernal	sʉː.'pəː.nʌ
clime	'klaɪ
profoundest	pɹʌ.'faʊn.dʌs
wherefore	'wəː.fɔː
grovelling	'ɡɹɑ.vʌ.lɪŋ
erewhile	ɪ.'ɹʉː.haɪ
massy	'mæ.si
fesole	'fɛ.səʊ
valdarno	væl.'dɑ.nəʊ
descry	dɪ.'skɹeɪ
ammiral	'æ.məː.ɹʌ
marl	'mɑ
smote	'sməʊ
nathless	'næθ.lʌ
vallombrosa	`væ.lʌm.'bɹəʊ.sʌ
etrurian	ɪ.'tɹʊə.ɹeɪ.ʌ
embower	ɛm.'baʊ.ʌ
o'erthrew	'ɔː.θɹʉː
busiris	'bjʉː.sɪ.`ɹɪ
memphian	'mɛm.feɪ.ʌ
perfidious	pəː.'fɪ.dɪ.ʌ
sojourners	'sɑ.dʒəː.nʌ
beheld	bɪ.'hɛl
carcases	'kɑ.keɪ.sɪ
bestrown	bɪ.'stɹəʊ
resounded	ɹɪ.'zaʊn.dɪ
beholds	bɪ.'həʊld
seraph	'sɛ.ɹʌ
ensigns	'ɛn.saɪn
anon	æ.'nɑ
thunderbolts	'θʌn.dʌ.`bəʊlt
bestir	bɪ.'stəː
amram's	'æm.ɹæm
pitchy	'pɪ.tʃi
numberless	'nʌm.bʌ.lʌ
twixt	'twɪks
loins	'lɔɪn
rhene	'ɹi
danaw	'dæ.nɔː
godlike	'ɡɑd.laɪ
dignities	'dɪɡ.nɪ.ti
erst	'əːs
thrones	'θɹəʊn
blotted	'blɑ.tɪ
rased	'ɹeɪz
falsities	'fɑl.sɪ.ti
cherubim	'tʃɛ.ɹʉː.bɪ
abominations	æ.`bɑ.mɪ.'neɪ.ʃʌn
profaned	pɹʌ.'feɪn
moloch	'mɑ.lɑ
besmeared	bɪ.'smeɪ.ʌ.ʌ
timbrels	'tɪm.bɹʌl
rabba	'ɹæ.bʌ
argob	'ɑ.ɡɑ
basan	'bæ.sʌ
arnon	'ɑ.nɑ
neighbourhood	'neɪ.bʌ.`hʊə
opprobrious	ɑ.'pɹɑ.bɹɪ.ʌ
hinnom	'hɪ.nʌ
tophet	'tɑ.fɪ
gehenna	'dʒɛ.hɛ.nʌ
chemos	'ki.məʊ
moab's	'məʊb
aroar	'æ.ɹɔː
nebo	'ni.bəʊ
southmost	'saʊθ.məʊs
abarim	æ.'bɑ.ɹɪ
hesebon	'hɛ.sɛ.bʌ
horonaim	'hɑ.ɹʌ.`neɪ
seon's	sɪ.'ɑn
sibma	'sɪb.mʌ
eleale	ɪ.'li
asphaltic	æ.'sfæl.tɪ
peor	pɪ.'ɔː
sittim	'sɪ.tɪ
baalim	'bɑ.lɪ
ashtaroth	'æʃ.tæ.`ɹɑθ
uncompounded	ʌn.kɑm.'paʊn.dɪ
manacled	'mæ.nʌ.kʌl
cumbrous	'kʌm.bɹʌ
fulfil	fʊəl.'fɪ
unfrequented	ʌn.'fɹi.kwʌn.tɪ
astoreth	æ.'stɔː.ɹʌθ
astarte	æ.'stɑ
sidonian	sɪ.'dəʊ.neɪ.ʌ
uxorious	ʌk.'sɔː.ɹɪ.ʌ
idolatresses	'aɪ.dʌ.`læ.tɹʌ.sɪ
thammuz	'θæ.mʌ
damsels	'dæm.sʌl
adonis	æ.'dəʊ.ni
sion's	sɪ.'ɑn
idolatries	aɪ.'dɑ.lʌ.`tɹɪ
lopt	'lɑp
grunsel	'ɡɹʌn.sʌ
azotus	'æ.zɑ.tʌ
ascalon	æ.'skæ.lʌ
accaron	æ.'kæ.ɹʌ
rimmon	'ɹɪ.mʌ
abbana	æ.'bɑ.nʌ
pharphar	'fɑ.fɑ
ahaz	'æ.hæ
sottish	'sɑ.tɪʃ
whereon	'wəː.ɹɑ
osiris	'ɑ.sɪ.`ɹɪ
orus	'ɔː.ɹʌ
sorceries	'sɔː.sʌ.ɹi
bleating	'bli.tɪŋ
belial	bɪ.'lɪ.ʌ
eli's	ɪ.'li
loftiest	'lɑf.tɪ.ʌs
darkens	'dɑ.kʌn
gibeah	'dʒaɪ.bʌ
ionian	aɪ.'ɑ.neɪ.ʌ
javan's	'dʒɑ.væn
rhea's	'ɹi
delphian	'dɛl.feɪ.ʌ
dodona	dʌ.'dəʊ.nʌ
hesperian	hɛ.'speɪ.ʌ.ɹɪ.ʌ
wonted	'wɑn.tɪ
clarions	'klæ.ɹeɪ.ʌn
upreared	'ʌ.pɹeɪ.ʌ.ʌ
honour	'ɑ.nʌ
azazel	'æ.zeɪ.zʌ
emblazed	ɛm.'bleɪz
seraphic	'sɛ.ɹʌ.`fɪ
frighted	'fɹaɪ.tɪ
colours	'kʌ.lʌ
thronging	'θɹɑŋ.ɪŋ
serried	'sɛ.ɹɪ
valour	'væ.lʌ
swage	'swædʒ
visages	'vɪ.sɪ.dʒɪ
distends	dɪ.'stɛnd
phlegra	'flɛ.ɡɹʌ
ilium	'ɪ.leɪ.ʌ
auxiliar	'ɔːk.sɪ.`leɪ.ʌ.ʌ
resounds	ɹɪ.'zaʊnd
uther's	'ʌ.ðʌ
begirt	bɪ.'ɡəː
armoric	ɑ.'mɑ.ɹɪ
jousted	'dʒaʊ.stɪ
aspramont	æ.'spɹæ.mɑn
damasco	dæ.'mæ.skəʊ
marocco	mæ.'ɹɑ.kəʊ
trebisond	'tɹɛ.bɪ.`sɑn
biserta	baɪ.'səː.tʌ
afric	'æ.fɹɪ
charlemain	'tʃɑ.lɪ.`meɪ
fontarabbia	`fɑn.tæ.'ɹæ.beɪ.ʌ
intrenched	ɪn.'tɹɛntʃ
dauntless	'dɔːnt.lʌ
amerced	'æ.məːs
splendours	'splɛn.dʌ
scathed	'skeɪð
whereat	'wəː.ɹæ
assayed	æ.'seɪ
interwove	`ɪn.tʌ.'wəʊ
matchless	'mætʃ.lʌ
forseeing	fɔː.'si.ɪŋ
puissant	'pjʉː.ɪ.sʌn
whereof	'wəː.ɹɑ
favour	'feɪ.vʌ
outflew	aʊt.'flʉː
scurf	'skəː
pickaxe	'pɪ.kæk
forerun	'fɔː.ɹʌ
rampart	'ɹæm.pɑ
mammon	'mæ.mʌ
trodden	'tɹɑ.dʌ
beatific	bi.æ.'tɪ.fɪ
digged	'dɪɡ
sluiced	'slʉːs
scummed	'skʌm
cornice	'kɔː.nɪ
alcairo	æl.'kəː.ɹəʊ
magnificence	mæɡ.'nɪ.fɪ.sʌn
belus	bɪ.'lʉː
serapis	'sɛ.ɹæ.`pi
pendent	'pɛn.dʌn
cressets	'kɹɛ.sɛt
naptha	'næp.θʌ
asphaltus	'æ.sfæl.tʌ
sceptred	'skɛp.tʌ
unadored	ʌ.næ.'dɔː
ausonian	ɔː.'səʊ.neɪ.ʌ
mulciber	'mʌl.sɪ.bʌ
dropt	'dɹɑp
lemnos	'lɛm.nəʊ
aegaean	i.'ɡeɪ.ʌ
erring	'əː.ɹɪŋ
trumpet's	'tɹʌm.pɪt
soldan's	'səʊl.dʌn
paynim	'peɪ.nɪ
expatiate	ɛk.'speɪ.ʃɪ.`eɪ
straitened	'stɹeɪ.tʌn
pygmean	'pɪɡ.meɪ.ʌ
faery	'fəː.ɹi
arbitress	'ɑ.bɪ.tɹʌ
jocund	'dʒɑ.kʌn
incorporeal	ɪn.'kɔː.pɔː.`ɹeɪ.ʌ
ii	`ɹəʊ.mʌn.'tʉː
ormus	'ɔː.mʌ
ind	'ɪn
insatiate	ɪn.'seɪ.ʃɪ.`eɪ
untaught	ʌn.'tɔː
dominions	dʌ.'mɪ.neɪ.ʌn
unenvied	`ʌ.'nɛn.vɪ
thunderer's	'θʌn.dʌ.ɹʌ
recked	'ɹɛk
unexpert	`ʌ.'nɛk.spəː
contriving	kʌn.'tɹaɪ.vɪŋ
resistless	ɹɪ.'sɪst.lʌ
torturer	'tɔː.tʃʌ.ɹʌ
tartarean	tɑ.'təː.ɹeɪ.ʌ
bethink	'bɛ.θɪŋ
benumb	bɪ.'nʌ
unextinguishable	`ʌ.nɛk.'stɪŋ.ɡwɪ.ʃʌ.bʌ
maturest	mʌ.'tʃʊə.ɹʌs
nobler	'nəʊ.blʌ
slothful	'slɑθ.fʌ
scorning	'skɔː.nɪŋ
incorruptible	ɪn.kʌ.'ɹʌp.tʌ.bʌ
unpolluted	ʌn.pʌ.'lʉː.tɪ
baser	'beɪ.zʌ
uncreated	ʌn.kɹi.'eɪ.tɪ
belike	bɪ.'laɪ
amain	'æ.meɪ
besought	bɪ.'sɔː
awaked	æ.'weɪk
intermitted	`ɪn.tʌ.'mɪ.tɪ
firmament	'fəː.mʌ.mʌn
impendent	ɪm.'pɛn.dʌn
wrapt	'ɹæp
unrespited	`ʌn.'ɹɛ.spaɪ.tɪ
unpitied	ʌn.'pɪ.ti
unreprieved	`ʌn.ɹɪ.'pɹiv
dissuades	dɪ.'sweɪd
subdues	sʌbd.'jʉː
ordains	ɔː.'deɪn
venturous	'vɛn.tʃʌ.ɹʌ
vapour	'veɪ.pʌ
reason's	'ɹi.zʌn
counselled	'kaʊn.sʌl
disenthrone	`dɪ.sɛn.'θɹəʊ
unthrone	ʌn.'θɹəʊ
subjection	sʌb.'dʒɛk.ʃʌ
warbled	'wɔː.bʌl
hallelujahs	`hæ.lɪ.'lʉː.jʌ
lordly	'lɔːd.li
odours	'əʊ.dʌ
vassalage	'væ.sæ.lɪdʒ
soe'er	'səʊ.ʌ
unobscured	ʌ.nɑb.'skjʊə
seafaring	'si.fəː.ɹɪŋ
