position	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
pos0	0.0037037037037	0.0925925925926	0.062962962963	0.0555555555556	0.0	0.0	0.0	0.0
pos1	0.0037037037037	0.0407407407407	0.0222222222222	0.137037037037	0.0	0.0	0.0	0.0
pos2	0.0037037037037	0.0111111111111	0.0851851851852	0.111111111111	0.0	0.0	0.0	0.0
pos3	0.0	0.0792452830189	0.0188679245283	0.0716981132075	0.0	0.0	0.00754716981132	0.0
pos4	0.00772200772201	0.042471042471	0.042471042471	0.0694980694981	0.0	0.0	0.015444015444	0.0
pos5	0.00793650793651	0.0793650793651	0.0277777777778	0.0555555555556	0.0	0.00396825396825	0.0833333333333	0.0
pos6	0.0	0.0330188679245	0.0283018867925	0.0660377358491	0.0	0.0	0.0896226415094	0.0
pos7	0.0	0.0548780487805	0.00609756097561	0.0365853658537	0.0	0.0	0.134146341463	0.0
pos8	0.0263157894737	0.0526315789474	0.0657894736842	0.0131578947368	0.0	0.0	0.157894736842	0.0
pos9	0.0	0.0819672131148	0.0	0.0	0.0	0.0	0.147540983607	0.0
pos10	0.0	0.357142857143	0.0	0.0	0.0	0.0	0.142857142857	0.0
pos11	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
